time,P
20230101:0010,0.0
20230101:0110,0.0
20230101:0210,0.0
20230101:0310,0.0
20230101:0410,0.0
20230101:0510,0.0
20230101:0610,0.0
20230101:0710,0.0
20230101:0810,99.15
20230101:0910,183.7
20230101:1010,365.65
20230101:1110,475.6
20230101:1210,490.32
20230101:1310,372.69
20230101:1410,182.28
20230101:1510,88.11
20230101:1610,40.81
20230101:1710,0.0
20230101:1810,0.0
20230101:1910,0.0
20230101:2010,0.0
20230101:2110,0.0
20230101:2210,0.0
20230101:2310,0.0
20230102:0010,0.0
20230102:0110,0.0
20230102:0210,0.0
20230102:0310,0.0
20230102:0410,0.0
20230102:0510,0.0
20230102:0610,0.0
20230102:0710,0.0
20230102:0810,31.05
20230102:0910,129.66
20230102:1010,197.48
20230102:1110,286.11
20230102:1210,264.59
20230102:1310,282.65
20230102:1410,182.15
20230102:1510,87.05
20230102:1610,1.76
20230102:1710,0.0
20230102:1810,0.0
20230102:1910,0.0
20230102:2010,0.0
20230102:2110,0.0
20230102:2210,0.0
20230102:2310,0.0
20230103:0010,0.0
20230103:0110,0.0
20230103:0210,0.0
20230103:0310,0.0
20230103:0410,0.0
20230103:0510,0.0
20230103:0610,0.0
20230103:0710,0.0
20230103:0810,5.16
20230103:0910,277.94
20230103:1010,361.31
20230103:1110,410.13
20230103:1210,490.69
20230103:1310,475.16
20230103:1410,385.63
20230103:1510,242.6
20230103:1610,38.8
20230103:1710,0.0
20230103:1810,0.0
20230103:1910,0.0
20230103:2010,0.0
20230103:2110,0.0
20230103:2210,0.0
20230103:2310,0.0
20230104:0010,0.0
20230104:0110,0.0
20230104:0210,0.0
20230104:0310,0.0
20230104:0410,0.0
20230104:0510,0.0
20230104:0610,0.0
20230104:0710,0.0
20230104:0810,93.67
20230104:0910,276.41
20230104:1010,407.83
20230104:1110,489.64
20230104:1210,501.96
20230104:1310,478.75
20230104:1410,399.09
20230104:1510,255.15
20230104:1610,50.74
20230104:1710,0.0
20230104:1810,0.0
20230104:1910,0.0
20230104:2010,0.0
20230104:2110,0.0
20230104:2210,0.0
20230104:2310,0.0
20230105:0010,0.0
